GEOCODIGO1,Quantidade_Paralizacao,GEOCODIGO,AG002,ES002,IN014
251460,NA,2514602,624,NA,100
251465,NA,2514651,373,120,100
251470,NA,2514701,1010,1200,100
251480,NA,2514800,876,NA,NA
251490,NA,2514909,2298,2000,100
251510,NA,2515104,1577,NA,81.19
251520,0,2515203,700,500,100
251540,NA,2515401,1236,NA,99.96
251550,NA,2515500,3564,NA,NA
251570,NA,2515708,829,NA,100
251600,NA,2516003,5651,NA,80.05
251610,NA,2516102,3727,NA,91.27
251615,NA,2516151,NA,NA,NA
251620,7,2516201,19046,7995,100
251630,NA,2516300,5272,1670,NA
251640,NA,2516409,1612,NA,100
251650,NA,2516508,0,NA,NA
251660,NA,2516607,3080,456,100
251670,NA,2516706,2904,NA,96.17
251675,0,2516755,472,1,100
251680,NA,2516805,0,NA,100
251690,NA,2516904,4025,NA,100
251700,NA,2517001,417,450,100
251710,NA,2517100,828,400,100
251720,NA,2517209,363,NA,100
251740,8,2517407,430,NA,89.4
260010,16,2600104,12539,NA,100
260020,0,2600203,2924,NA,NA
260030,0,2600302,7335,NA,NA
260050,0,2600500,5881,NA,98.13
260060,0,2600609,1927,NA,49.39
260080,0,2600807,6075,NA,NA
260100,0,2601003,2332,NA,94.83
260110,16,2601102,15114,10681,85
260120,0,2601201,19434,1095,NA
260160,0,2601607,4031,NA,NA
260170,0,2601706,25616,8468,8.24
260180,0,2601805,1691,1458,NA
260190,0,2601904,16402,NA,NA
260200,14,2602001,4855,7854,100
260210,0,2602100,9096,NA,NA
260220,0,2602209,7616,NA,NA
260240,0,2602407,1166,NA,NA
260250,0,2602506,1550,NA,99.74
260260,0,2602605,8156,5900,NA
260280,0,2602803,4794,NA,NA
260300,10,2603009,7833,5221,98.5
260310,0,2603108,5653,NA,NA
260320,0,2603207,1913,NA,100
260330,0,2603306,1229,NA,39.33
260340,6,2603405,829,NA,NA
260350,2,2603504,4130,NA,100
260370,0,2603702,4271,NA,97.98
260380,0,2603801,2130,NA,NA
260390,6,2603900,3793,NA,NA
260392,0,2603926,1200,1200,100
260410,0,2604106,94618,41896,12.63
260415,0,2604155,496,NA,79.55
260430,0,2604304,2413,1511,100
260450,0,2604502,3878,NA,36.79
260470,0,2604700,3187,NA,NA
260490,0,2604908,2226,NA,NA
260500,0,2605004,8160,NA,NA
260510,0,2605103,6673,NA,12.93
260515,0,2605152,2546,1666,98.94
260530,22,2605301,5163,NA,NA
260560,9,2605608,4272,NA,NA
260570,5,2605707,7036,NA,100
260580,1,2605806,1985,NA,NA
260600,0,2606002,40358,3925,NA
260630,10,2606309,1002,905,NA
260640,3,2606408,27595,347,NA
260650,NA,2606507,NA,NA,NA
260660,0,2606606,4353,NA,28.47
260670,0,2606705,1384,NA,15.53
260690,0,2606903,2668,150,71.47
260700,9,2607000,5714,1599,NA
260710,0,2607109,689,NA,NA
260730,0,2607307,4591,2160,NA
260740,0,2607406,1314,NA,NA
260750,0,2607505,5255,NA,30.78
260770,0,2607703,3271,NA,100
260800,0,2608008,812,NA,NA
260805,11,2608057,3377,NA,100
260810,3,2608107,6156,NA,NA
260825,0,2608255,1210,NA,16.74
260830,0,2608305,1056,NA,NA
260840,0,2608404,4088,NA,100
260860,0,2608602,2036,NA,23.46
260870,0,2608701,3176,NA,NA
260875,0,2608750,4280,2347,100
260880,2,2608800,12222,NA,NA
260915,0,2609154,1961,NA,NA
260930,0,2609303,3389,NA,94.23
260970,4,2609709,2111,NA,46.98
260980,2,2609808,1620,NA,NA
260990,7,2609907,13726,NA,78.77
261010,0,2610103,1652,NA,100
261020,0,2610202,5041,3400,100
261030,0,2610301,432,NA,96.46
261040,3,2610400,3424,NA,100
261050,0,2610509,5339,NA,NA
261080,0,2610806,3160,NA,NA
261090,3,2610905,12722,NA,84.32
261100,2,2611002,7063,NA,100
261110,8,2611101,78644,51869,100
261120,0,2611200,2163,NA,NA
261153,5,2611533,1072,NA,NA
261170,0,2611705,4163,NA,NA
261200,0,2612000,2788,NA,NA
261210,0,2612109,974,NA,NA
261220,25,2612208,18348,5595,100
261230,0,2612307,1724,NA,98.92
261240,0,2612406,6163,NA,NA
261245,18,2612455,2017,NA,NA
261247,0,2612471,58,NA,100
261250,0,2612505,23120,NA,NA
261255,6,2612554,1553,1,91.35
261260,0,2612604,4638,NA,NA
261270,0,2612703,2099,NA,100
261280,0,2612802,2469,NA,NA
261300,7,2613008,8084,NA,NA
261310,0,2613107,9004,NA,92.21
261320,1,2613206,3999,NA,NA
261330,0,2613305,5180,NA,100
261350,1,2613503,6018,14000,NA
261360,3,2613602,8135,8200,100
261390,15,2613909,24838,3500,NA
261400,8,2614006,2772,NA,100
261410,10,2614105,6134,NA,NA
261430,5,2614303,1513,NA,NA
261440,0,2614402,612,NA,100
261450,0,2614501,19021,NA,NA
261460,4,2614600,8089,NA,NA
261470,0,2614709,2873,NA,20.9
261480,0,2614808,4250,NA,NA
261500,0,2615003,2586,400,95.48
261510,1,2615102,1077,NA,NA
261520,17,2615201,2667,NA,NA
261540,0,2615409,9724,NA,NA
261560,15,2615607,8396,NA,NA
261570,0,2615706,2514,NA,99.1
261580,0,2615805,3348,5000,NA
261590,2,2615904,2894,NA,NA
261600,0,2616001,2659,NA,95.54
261610,4,2616100,2578,NA,NA
261618,0,2616183,947,NA,96.02
261620,0,2616209,4436,NA,100
270010,126,2700102,3280,NA,87.38
270030,156,2700300,57575,15000,NA
270070,22,2700706,2989,1267,38.33
270090,12,2700904,579,NA,NA
270120,32,2701209,558,NA,99.6
270160,220,2701605,1739,NA,NA
270180,44,2701803,1593,NA,NA
270200,6,2702009,836,NA,NA
270235,116,2702355,4084,NA,NA
270240,144,2702405,14522,14000,13.27
270250,32,2702504,1107,NA,96.55
270255,9,2702553,1724,NA,NA
270290,84,2702900,4382,NA,NA
270310,104,2703106,3202,NA,NA
270330,198,2703304,2219,NA,71.74
270340,12,2703403,1291,NA,NA
270370,32,2703700,805,NA,NA
270410,89,2704104,3164,NA,0
270440,52,2704401,2060,NA,91.17
270460,28,2704609,1607,NA,100
270500,420,2705002,2332,NA,NA
270530,12,2705309,480,NA,NA
270540,22,2705408,1244,NA,NA
270570,25,2705705,5767,NA,NA
270580,152,2705804,1303,NA,NA
270600,27,2706000,1649,NA,NA
270610,30,2706109,1330,NA,96.23
270620,20,2706208,1091,NA,100
270630,20,2706307,18456,752,100
270640,22,2706406,6498,0,NA
270642,146,2706422,2087,NA,100
270710,24,2707107,4769,1945,NA
270720,25,2707206,989,NA,NA
270760,10,2707602,2527,335,NA
270800,30,2708006,10696,830,99.53
270840,27,2708402,3938,NA,NA
270895,52,2708956,1084,NA,99.48
270920,43,2709202,2286,NA,79.77
280010,0,2800100,658,NA,NA
280020,0,2800209,6248,NA,NA
280110,0,2801108,1309,NA,NA
280120,0,2801207,5072,NA,NA
280140,0,2801405,5885,NA,NA
280160,0,2801603,2045,NA,NA
280190,0,2801900,1380,NA,NA
280220,0,2802205,1909,NA,NA
280230,0,2802304,4472,NA,100
280240,0,2802403,3046,NA,100
280260,0,2802601,2124,NA,100
280310,0,2803104,2285,NA,NA
280370,0,2803708,1828,657,NA
280420,0,2804201,3882,NA,79.84
280445,0,2804458,2112,1496,100
280450,0,2804508,12327,NA,NA
280460,0,2804607,7318,NA,99.36
280470,0,2804706,3579,NA,NA
280500,0,2805000,1049,NA,NA
280520,0,2805208,1633,NA,NA
280540,0,2805406,4831,NA,100
280550,0,2805505,6217,NA,100
280560,0,2805604,7909,NA,NA
280570,0,2805703,8353,NA,NA
280600,0,2806008,5266,NA,NA
280700,0,2807006,890,NA,NA
280710,0,2807105,8780,874,100
280730,0,2807303,1067,NA,NA
280740,0,2807402,12383,NA,100
290010,NA,2900108,NA,NA,NA
290020,6,2900207,3668,1908,100
290035,0,2900355,3293,NA,NA
290040,0,2900405,2703,NA,NA
290050,5,2900504,2032,NA,100
290100,11,2901007,10990,338,62.06
290115,98,2901155,4248,NA,100
290120,1,2901205,2128,NA,79.99
290130,2,2901304,2651,NA,100
290135,21,2901353,3687,NA,62.79
290150,0,2901502,2218,NA,NA
290160,3,2901601,3244,NA,NA
290170,1,2901700,1504,NA,NA
290180,2,2901809,2859,NA,NA
290200,9,2902005,1895,NA,NA
290210,7,2902104,7723,300,93.25
290260,9,2902609,4345,NA,40.35
290265,1,2902658,1648,NA,100
290270,NA,2902708,NA,NA,100
290280,27,2902807,7297,2940,38.19
290290,11,2902906,9028,153,NA
290300,5,2903003,3771,NA,95.78
290323,15,2903235,2112,NA,NA
290327,18,2903276,3494,NA,NA
290350,2,2903508,2043,NA,NA
290360,13,2903607,2240,NA,NA
290370,0,2903706,2891,870,NA
290380,0,2903805,4206,NA,NA
290390,82,2903904,17501,7800,NA
290395,2,2903953,1368,NA,95.88
290400,0,2904001,1523,NA,NA
290405,0,2904050,2105,NA,NA
290410,NA,2904100,NA,NA,NA
290420,1,2904209,1812,NA,NA
290430,2,2904308,4274,1870,NA
290440,54,2904407,959,NA,NA
290450,0,2904506,1416,NA,NA
290460,3,2904605,20062,1388,0
290475,NA,2904753,NA,NA,NA
290480,2,2904803,2174,NA,NA
290485,18,2904852,2536,189,NA
290500,3,2905008,5488,NA,NA
290510,0,2905107,1463,NA,100
290515,2,2905156,1078,NA,NA
290520,11,2905206,10179,NA,100
290530,4,2905305,3711,NA,100
290550,17,2905503,2658,NA,NA
290590,8,2905909,2160,1780,100
290600,0,2906006,9744,828,NA
290620,33,2906204,6161,NA,NA
290640,0,2906402,1539,NA,NA
290660,15,2906600,3052,NA,100
290670,3,2906709,5364,NA,100
290680,10,2906808,8280,NA,100
290682,36,2906824,3326,NA,100
290685,33,2906857,3595,NA,NA
290687,4,2906873,13092,766,83.23
290689,10,2906899,1243,328,100
290710,8,2907103,7333,1657,80.94
290720,7,2907202,11637,5061,NA
290730,22,2907301,7193,204,100
290755,2,2907558,1792,485,NA
290760,4,2907608,4873,NA,NA
290770,0,2907707,2080,780,NA
290780,1,2907806,8572,NA,NA
290790,1,2907905,4150,NA,59.48
290810,NA,2908101,NA,NA,NA
290840,0,2908408,17426,1191,0
290870,6,2908705,2983,NA,99.17
290880,2,2908804,1003,NA,44.06
290900,7,2909000,1515,NA,99.57
290910,12,2909109,4616,NA,100
290920,36,2909208,3647,1158,70.01
290950,10,2909505,1093,857,NA
290960,1,2909604,3206,NA,69.99
290990,7,2909901,6733,2625,NA
291010,NA,2910107,NA,NA,NA
291030,9,2910305,1350,NA,NA
291040,3,2910404,1861,1323,NA
291070,19,2910701,14260,2646,100
291075,8,2910750,5590,NA,NA
291077,NA,2910776,NA,NA,NA
291080,17,2910800,163048,100744,68.85
291085,13,2910859,4150,NA,NA
291125,14,2911253,1275,300,100
291130,2,2911303,1219,791,93.86
291140,0,2911402,3735,1193,93.8
291165,2,2911659,978,NA,96.81
291170,30,2911709,25591,11282,91.73
291185,8,2911857,2651,NA,NA
291190,0,2911907,8564,NA,NA
291200,6,2912004,2416,NA,NA
291220,0,2912202,1584,NA,100
291240,3,2912400,4527,NA,NA
291250,4,2912509,2486,NA,NA
291260,4,2912608,1104,NA,100
291300,0,2913002,1133,471,NA
291310,0,2913101,6074,NA,91.4
291320,6,2913200,7934,5890,NA
291330,0,2913309,1460,NA,NA
291340,NA,2913408,NA,NA,NA
291350,5,2913507,5153,609,88.83
291370,2,2913705,7254,NA,85.13
291380,0,2913804,2185,NA,62.55
291400,6,2914000,14915,1092,100
291410,0,2914109,2439,1408,NA
291420,8,2914208,1446,NA,NA
291430,12,2914307,2460,NA,100
291440,0,2914406,2531,NA,NA
291460,14,2914604,25730,4417,100
291470,1,2914703,21845,2680,0.1
291500,12,2915007,2239,NA,NA
291510,0,2915106,3679,NA,NA
291535,0,2915353,1354,NA,NA
291580,11,2915809,5927,198,NA
291640,4,2916401,22465,21044,100
291650,2,2916500,5812,NA,NA
291670,6,2916708,1709,2140,100
291680,0,2916807,5258,NA,NA
291685,23,2916856,4834,NA,100
291690,0,2916906,3425,2250,100
291700,20,2917003,5113,157,100
291710,12,2917102,7920,7920,NA
291720,0,2917201,2594,600,NA
291733,1,2917334,1840,NA,NA
291740,1,2917409,1295,NA,100
291750,2,2917508,23231,1279,46.16
291760,6,2917607,14028,5261,99.08
291770,5,2917706,6870,2854,100
291800,0,2918001,50977,46455,NA
291810,22,2918100,7355,NA,100
291835,4,2918357,6970,NA,100
291840,2,2918407,47409,35106,NA
291850,0,2918506,4973,NA,NA
291860,0,2918605,1416,NA,100
291870,15,2918704,951,NA,62.59
291875,0,2918753,1185,NA,NA
291900,2,2919009,852,280,98.73
291905,3,2919058,1556,NA,NA
291910,9,2919108,1813,NA,NA
291915,6,2919157,8658,NA,NA
291930,1,2919306,2944,1835,12.4
291940,1,2919405,1797,NA,54.36
291950,1,2919504,8858,NA,NA
291960,6,2919603,3286,2200,100
291970,0,2919702,5152,NA,NA
291980,13,2919801,15503,0,85.81
291990,45,2919900,1200,NA,100
291995,0,2919959,1492,NA,4.83
292000,1,2920007,2663,NA,NA
292010,13,2920106,4107,NA,100
292020,5,2920205,2718,NA,NA
292030,2,2920304,1236,NA,14.72
292040,10,2920403,2201,NA,NA
292050,1,2920502,5672,NA,99.49
292080,1,2920809,2425,NA,97.67
292105,14,2921054,1349,NA,NA
292120,14,2921203,7130,1635,NA
292130,9,2921302,3666,NA,100
292140,1,2921401,1035,NA,NA
292145,5,2921450,919,NA,65.69
292150,15,2921500,5849,NA,100
292160,9,2921609,2064,NA,56.7
292170,104,2921708,7445,4516,87.57
292180,1,2921807,2317,NA,99.78
292190,4,2921906,5960,2600,100
292205,29,2922052,2224,NA,76.34
292210,60,2922102,5286,NA,92.69
292225,12,2922250,777,409,NA
292265,8,2922656,2955,NA,47.37
292270,1,2922706,2552,NA,NA
292273,25,2922730,3148,NA,NA
292280,27,2922805,1364,NA,100
292285,1,2922854,1970,NA,NA
292290,0,2922904,4560,NA,NA
292303,0,2923035,71,NA,NA
292305,1,2923050,1950,NA,99.85
292310,0,2923100,4741,3600,100
292320,0,2923209,2991,NA,72.8
292335,4,2923357,2544,NA,NA
292340,2,2923407,3312,NA,99.66
292350,0,2923506,1692,1053,NA
292360,3,2923605,6846,NA,99.54
292370,NA,2923704,NA,NA,99.48
292380,11,2923803,6323,NA,100
292400,2,2924009,31559,10079,NA
292405,62,2924058,3073,NA,NA
292420,14,2924207,1619,NA,NA
292430,NA,2924306,NA,NA,NA
292440,NA,2924405,NA,NA,NA
292450,10,2924504,1346,NA,90.44
292460,NA,2924603,NA,NA,NA
292465,0,2924652,2200,1300,54.22
292470,0,2924702,2056,NA,0
292480,40,2924801,6149,NA,NA
292490,0,2924900,1376,NA,89.54
292500,5,2925006,5891,NA,100
292510,0,2925105,13870,NA,NA
292525,4,2925253,5489,NA,NA
292540,4,2925402,2895,NA,100
292560,4,2925600,5224,NA,100
292570,2,2925709,1901,2,29.86
292580,2,2925808,5145,NA,NA
292590,7,2925907,5724,NA,74.5
292593,17,2925931,3020,NA,NA
292595,37,2925956,3561,NA,NA
292600,5,2926004,8369,8369,100
292610,0,2926103,3348,NA,NA
292630,46,2926301,10453,207,80.2
292640,NA,2926400,NA,NA,NA
292650,1,2926509,546,NA,NA
292660,0,2926608,12971,6470,59.38
292665,0,2926657,138,NA,NA
292670,0,2926707,2342,1112,NA
292680,39,2926806,3541,NA,NA
292690,0,2926905,1977,NA,43.07
292710,5,2927101,2200,2200,100
292720,6,2927200,8228,666,NA
292750,17,2927507,4111,442,100
292760,5,2927606,3032,1268,61.66
292790,14,2927903,3281,2131,100
292800,45,2928000,9369,NA,NA
292820,0,2928208,6348,NA,NA
292830,17,2928307,1498,NA,NA
292850,22,2928505,2542,800,NA
292880,0,2928802,12887,130,100
292895,32,2928950,3446,NA,NA
292905,2,2929057,4777,NA,NA
292925,0,2929255,5922,NA,100
292937,2,2929370,3080,NA,NA
292970,5,2929701,2591,NA,NA
292980,10,2929800,2821,NA,NA
292990,1,2929909,7728,NA,NA
293000,0,2930006,2637,NA,99.56
293010,1,2930105,25780,12367,90
293015,NA,2930154,NA,NA,NA
293020,NA,2930204,NA,NA,NA
293030,53,2930303,3555,NA,98.79
293040,0,2930402,2862,NA,100
293050,5,2930501,23826,2420,NA
293060,7,2930600,5818,NA,100
293075,NA,2930758,NA,NA,NA
293076,1,2930766,2857,NA,NA
293077,3,2930774,6921,5441,100
293080,50,2930808,2285,NA,NA
293090,53,2930907,4606,0,NA
293100,0,2931004,3877,NA,NA
293105,5,2931053,3418,NA,NA
293110,17,2931103,2295,NA,NA
293130,132,2931301,3640,3075,99.99
293150,0,2931509,5691,700,NA
293180,3,2931806,1664,NA,NA
293190,0,2931905,9325,3642,NA
293200,4,2932002,5521,NA,NA
293210,0,2932101,3285,1841,88.96
293240,0,2932408,5296,NA,0
293245,9,2932457,2449,NA,NA
293260,NA,2932606,NA,NA,100
293280,0,2932804,4651,NA,100
293300,0,2933000,7875,NA,78.31
293305,1,2933059,4337,NA,NA
293310,18,2933109,2685,NA,95.33
293315,4,2933158,4098,2971,95.31
293330,13,2933307,93189,70702,100
293340,0,2933406,2314,NA,NA
293360,15,2933604,11236,1598,88.42
310100,0,3101003,4017,1458,99.46
310170,53,3101706,13391,12154,NA
310270,5,3102704,1305,NA,100
310340,47,3103405,10178,5965,100
310520,20,3105202,1284,1037,96.15
310650,27,3106507,2065,1162,76.36
310665,0,3106655,1409,NA,100
310825,1,3108255,1213,NA,NA
311270,8,3112703,3427,1295,100
311300,9,3113008,3200,281,100
311547,1,3115474,980,299,99.97
311610,127,3116100,2386,NA,NA
311700,18,3117009,1668,715,8.96
311783,2,3117836,596,NA,100
311950,12,3119500,2664,1408,100
312030,0,3120300,1368,436,100
312087,0,3120870,2118,NA,NA
312235,0,3122355,2223,NA,NA
312245,0,3122454,2765,971,100
312430,0,3124302,8690,NA,96.65
312560,0,3125606,2175,1864,100
312650,18,3126505,1804,NA,94.98
312670,365,3126703,4576,3379,100
312707,11,3127073,1239,NA,NA
312733,NA,3127339,NA,NA,NA
312780,5,3127800,2488,1184,100
312965,1,3129657,1644,NA,NA
313065,0,3130655,1140,389,99.47
313210,0,3132107,4638,1507,100
313330,10,3133303,6877,2870,100
313400,25,3134004,3301,2044,94.88
313470,32,3134707,3119,2135,NA
313505,4,3135050,7513,1943,100
313510,6,3135100,24292,6450,99.95
313520,1,3135209,15242,3866,85
313535,1,3135357,1368,NA,100
313545,8,3135456,1702,736,NA
313580,12,3135803,7171,4899,97.59
313600,218,3136009,4012,3094,NA
313650,0,3136504,2691,2475,98.39
313652,3,3136520,562,950,100
313657,4,3136579,1037,569,86.85
313695,0,3136959,1416,38,NA
313865,1,3138658,2107,308,NA
313925,NA,3139250,NA,NA,30.7
313930,2,3139300,4768,113,100
314055,0,3140555,3176,2586,100
314085,11,3140852,2215,NA,NA
314100,51,3141009,4051,NA,NA
314140,6,3141405,5642,4956,NA
314225,10,3142254,523,NA,87.26
314270,0,3142700,3478,117,100
314290,0,3142908,5736,83,43.49
314315,38,3143153,884,654,100
314345,0,3143450,1277,NA,57.55
314465,0,3144656,1455,NA,72.65
314505,4,3145059,2300,731,100
314530,16,3145307,4307,2496,100
314537,15,3145372,1641,306,NA
314625,23,3146255,1468,178,NA
314630,12,3146305,4141,NA,100
314655,3,3146552,791,NA,100
314795,0,3147956,1044,NA,100
314870,28,3148707,6709,6091,100
314915,8,3149150,2115,NA,100
315217,36,3152170,2175,NA,NA
315220,44,3152204,11599,3264,100
315450,9,3154507,1562,1034,60.32
315560,0,3155603,4257,1234,99.5
315650,12,3156502,1830,453,100
315660,0,3156601,2892,NA,NA
315700,13,3157005,14989,10920,100
315710,3,3157104,2015,NA,NA
315737,15,3157377,760,546,100
315810,53,3158102,1543,1412,NA
316045,0,3160454,760,668,100
316240,2,3162401,2749,473,NA
316245,1,3162450,1132,NA,NA
316270,0,3162708,4933,2381,NA
316695,0,3166956,926,NA,100
316800,5,3168002,10071,3849,100
317065,0,3170651,1122,NA,NA
317090,0,3170909,4278,686,NA
317103,2,3171030,1831,NA,94.64
317160,5,3171600,3761,0,NA
